titulo;ano;classificacao;duracao;sinopse;direcao;roteiristas;artistas;nota
Shutter Island;2010;R;2h 18m;Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.;Martin Scorsese;Laeta Kalogridis, Dennis Lehane;Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo;8.2
The Sixth Sense;1999;PG-13;1h 47m;Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.;M. Night Shyamalan;M. Night Shyamalan;Bruce Willis, Haley Joel Osment, Toni Collette;8.2
Monty Python and the Holy Grail;1975;PG;1h 31m;King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.;Terry Gilliam, Terry Jones;Graham Chapman, John Cleese, Eric Idle;Graham Chapman, John Cleese, Eric Idle;8.2
Yojimbo;1961;Not Rated;1h 50m;A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.;Akira Kurosawa;Akira Kurosawa, Ryûzô Kikushima;Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai;8.2
A Beautiful Mind;2001;PG-13;2h 15m;After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.;Ron Howard;Akiva Goldsman, Sylvia Nasar;Russell Crowe, Ed Harris, Jennifer Connelly;8.2
Pan's Labyrinth;2006;R;1h 58m;In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.;Guillermo del Toro;Guillermo del Toro;Ivana Baquero, Ariadna Gil, Sergi López;8.2
Unforgiven;1992;R;2h 10m;"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""";Clint Eastwood;David Webb Peoples;Clint Eastwood, Gene Hackman, Morgan Freeman;8.2
The Truman Show;1998;PG;1h 43m;An insurance salesman discovers his whole life is actually a reality TV show.;Peter Weir;Andrew Niccol;Jim Carrey, Ed Harris, Laura Linney;8.2
There Will Be Blood;2007;R;2h 38m;A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.;Paul Thomas Anderson;Paul Thomas Anderson, Upton Sinclair;Daniel Day-Lewis, Paul Dano, Ciarán Hinds;8.2
Casino;1995;R;2h 58m;In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite.;Martin Scorsese;Nicholas Pileggi, Martin Scorsese;Robert De Niro, Sharon Stone, Joe Pesci;8.2
