titulo;ano;classificacao;duracao;sinopse;direcao;roteiristas;artistas;nota
The Shawshank Redemption;1994;R;2h 22m;Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.;Frank Darabont;Stephen King, Frank Darabont;Tim Robbins, Morgan Freeman, Bob Gunton;9.3
Seven Samurai;1954;Not Rated;3h 27m;Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.;Akira Kurosawa;Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni;Toshirô Mifune, Takashi Shimura, Keiko Tsushima;8.6
One Flew Over the Cuckoo's Nest;1975;R;2h 13m;In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.;Milos Forman;Lawrence Hauben, Bo Goldman, Ken Kesey;Jack Nicholson, Louise Fletcher, Michael Berryman;8.7
Goodfellas;1990;R;2h 25m;The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.;Martin Scorsese;Nicholas Pileggi, Martin Scorsese;Robert De Niro, Ray Liotta, Joe Pesci;8.7
It's a Wonderful Life;1946;PG;2h 10m;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.;Frank Capra;Frances Goodrich, Albert Hackett, Frank Capra;James Stewart, Donna Reed, Lionel Barrymore;8.6
Saving Private Ryan;1998;R;2h 49m;Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.;Steven Spielberg;Robert Rodat;Tom Hanks, Matt Damon, Tom Sizemore;8.6
Se7en;1995;R;2h 7m;Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.;David Fincher;Andrew Kevin Walker;Morgan Freeman, Brad Pitt, Kevin Spacey;8.6
The Silence of the Lambs;1991;R;1h 58m;A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.;Jonathan Demme;Thomas Harris, Ted Tally;Jodie Foster, Anthony Hopkins, Lawrence A. Bonney;8.6
Star Wars Episode V - The Empire Strikes Back;1980;PG;2h 4m;After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.;Irvin Kershner;Leigh Brackett, Lawrence Kasdan, George Lucas;Mark Hamill, Harrison Ford, Carrie Fisher;8.7
Inception;2010;PG-13;2h 28m;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.;Christopher Nolan;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page;8.8
The Matrix;1999;R;2h 16m;When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.;Lana Wachowski, Lilly Wachowski;Lilly Wachowski, Lana Wachowski;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss;8.7
The Lord of the Rings The Two Towers;2002;PG-13;2h 59m;While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;Elijah Wood, Ian McKellen, Viggo Mortensen;8.8
The Good, the Bad and the Ugly;1966;Approved;2h 58m;A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.;Sergio Leone;Luciano Vincenzoni, Sergio Leone, Agenore Incrocci;Clint Eastwood, Eli Wallach, Lee Van Cleef;8.8
Fight Club;1999;R;2h 19m;An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.;David Fincher;Chuck Palahniuk, Jim Uhls;Brad Pitt, Edward Norton, Meat Loaf;8.8
Spider-Man Across the Spider-Verse;2023;PG;2h 20m;Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.;Joaquim Dos Santos, Kemp Powers, Justin K. Thompson;Phil Lord, Christopher Miller, Dave Callaham;Shameik Moore, Hailee Steinfeld, Brian Tyree Henry;9.0
Forrest Gump;1994;PG-13;2h 22m;The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.;Robert Zemeckis;Winston Groom, Eric Roth;Tom Hanks, Robin Wright, Gary Sinise;8.8
Aladdin;1992;G;1h 30m;A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.;Ron Clements, John Musker;Ron Clements, John Musker, Ted Elliott;Scott Weinger, Robin Williams, Linda Larkin;8.0
It Happened One Night;1934;Passed;1h 45m;A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.;Frank Capra;Robert Riskin, Samuel Hopkins Adams;Clark Gable, Claudette Colbert, Walter Connolly;8.1
Life of Brian;1979;R;1h 34m;Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.;Terry Jones;Graham Chapman, John Cleese, Terry Gilliam;Graham Chapman, John Cleese, Michael Palin;8.0
The Iron Giant;1999;PG;1h 26m;A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.;Brad Bird;Tim McCanlies, Brad Bird, Ted Hughes;Eli Marienthal, Harry Connick Jr., Jennifer Aniston;8.1
The 400 Blows;1959;Not Rated;1h 39m;A young boy, left without attention, delves into a life of petty crime.;François Truffaut;François Truffaut, Marcel Moussy;Jean-Pierre Léaud, Albert Rémy, Claire Maurier;8.1
The Help;2011;PG-13;2h 26m;An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.;Tate Taylor;Tate Taylor, Kathryn Stockett;Viola Davis, Emma Stone, Octavia Spencer;8.1
Persona;1966;Not Rated;1h 23m;A nurse is put in charge of a mute actress and finds that their personae are melding together.;Ingmar Bergman;Ingmar Bergman;Bibi Andersson, Liv Ullmann, Margaretha Krook;8.1
Drishyam;2015;Not Rated;2h 43m;Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.;Nishikant Kamat;Jeethu Joseph, Upendra Sidhaye;Ajay Devgn, Shriya Saran, Tabu;8.2
The Sound of Music;1965;G;2h 52m;A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.;Robert Wise;Georg Hurdalek, Howard Lindsay, Russel Crouse;Julie Andrews, Christopher Plummer, Eleanor Parker;8.1
Cool Hand Luke;1967;GP;2h 7m;A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.;Stuart Rosenberg;Donn Pearce, Frank Pierson, Hal Dresner;Paul Newman, George Kennedy, Strother Martin;8.1
Rebecca;1940;Approved;2h 10m;A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.;Alfred Hitchcock;Daphne Du Maurier, Robert E. Sherwood, Joan Harrison;Laurence Olivier, Joan Fontaine, George Sanders;8.1
The Handmaiden;2016;Not Rated;2h 25m;A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.;Park Chan-wook;Sarah Waters, Chung Seo-kyung, Park Chan-wook;Kim Min-hee, Ha Jung-woo, Cho Jin-woong;8.1
Amores Perros;2000;R;2h 34m;A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.;Alejandro G. Iñárritu;Guillermo Arriaga;Emilio Echevarría, Gael García Bernal, Goya Toledo;8.1
Hachi A Dog's Tale;2009;G;1h 33m;A college professor bonds with an abandoned dog he takes into his home.;Lasse Hallström;Stephen P. Lindsey, Kaneto Shindô;Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa;8.1
Pather Panchali;1955;Not Rated;2h 5m;Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.;Satyajit Ray;Bibhutibhushan Bandyopadhyay, Satyajit Ray;Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee;8.2
The Grapes of Wrath;1940;Passed;2h 9m;An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.;John Ford;Nunnally Johnson, John Steinbeck;Henry Fonda, Jane Darwell, John Carradine;8.1
My Father and My Son;2005;Not Rated;1h 52m;The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.;Çagan Irmak;Çagan Irmak;Çetin Tekindor, Fikret Kuskan, Hümeyra;8.2
The Incredibles;2004;PG;1h 55m;While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.;Brad Bird;Brad Bird;Craig T. Nelson, Samuel L. Jackson, Holly Hunter;8.0
To Be or Not to Be;1942;Passed;1h 39m;During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.;Ernst Lubitsch;Melchior Lengyel, Edwin Justus Mayer, Ernst Lubitsch;Carole Lombard, Jack Benny, Robert Stack;8.2
The Battle of Algiers;1966;Not Rated;2h 1m;In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.;Gillo Pontecorvo;Franco Solinas, Gillo Pontecorvo;Brahim Hadjadj, Jean Martin, Yacef Saadi;8.1
Groundhog Day;1993;PG;1h 41m;A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.;Harold Ramis;Danny Rubin, Harold Ramis;Bill Murray, Andie MacDowell, Chris Elliott;8.0
Pirates of the Caribbean The Curse of the Black Pearl;2003;PG-13;2h 23m;"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.";Gore Verbinski;Ted Elliott, Terry Rossio, Stuart Beattie;Johnny Depp, Geoffrey Rush, Orlando Bloom;8.1
The Best Years of Our Lives;1946;Approved;2h 50m;Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.;William Wyler;Robert E. Sherwood, MacKinlay Kantor;Myrna Loy, Dana Andrews, Fredric March;8.1
The Exorcist;1973;R;2h 2m;When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.;William Friedkin;William Peter Blatty;Ellen Burstyn, Max von Sydow, Linda Blair;8.1
La haine;1995;Not Rated;1h 38m;24 hours in the lives of three young men in the French suburbs the day after a violent riot.;Mathieu Kassovitz;Mathieu Kassovitz;Vincent Cassel, Hubert Koundé, Saïd Taghmaoui;8.1
The Wizard of Oz;1939;G;1h 42m;Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.;Victor Fleming, George Cukor, Mervyn LeRoy;Noel Langley, Florence Ryerson, Edgar Allan Woolf;Judy Garland, Frank Morgan, Ray Bolger;8.1
Network;1976;R;2h 1m;A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.;Sidney Lumet;Paddy Chayefsky;Faye Dunaway, William Holden, Peter Finch;8.1
Stand by Me;1986;R;1h 29m;After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.;Rob Reiner;Stephen King, Raynold Gideon, Bruce A. Evans;Wil Wheaton, River Phoenix, Corey Feldman;8.1
Before Sunset;2004;R;1h 20m;Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.;Richard Linklater;Richard Linklater, Julie Delpy, Ethan Hawke;Ethan Hawke, Julie Delpy, Vernon Dobtcheff;8.1
Into the Wild;2007;R;2h 28m;After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.;Sean Penn;Sean Penn, Jon Krakauer;Emile Hirsch, Vince Vaughn, Catherine Keener;8.1
Rush;2013;R;2h 3m;The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.;Ron Howard;Peter Morgan;Daniel Brühl, Chris Hemsworth, Olivia Wilde;8.1
Jai Bhim;2021;TV-MA;2h 44m;When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.;T.J. Gnanavel;T.J. Gnanavel, Rajendra Sapre;Suriya, Lijo Mol Jose, Manikandan K.;8.8
Logan;2017;R;2h 17m;In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.;James Mangold;James Mangold, Scott Frank, Michael Green;Hugh Jackman, Patrick Stewart, Dafne Keen;8.1
Spotlight;2015;R;2h 9m;The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.;Tom McCarthy;Josh Singer, Tom McCarthy;Mark Ruffalo, Michael Keaton, Rachel McAdams;8.1
Ratatouille;2007;G;1h 51m;A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.;Brad Bird, Jan Pinkava;Brad Bird, Jan Pinkava, Jim Capobianco;Brad Garrett, Lou Romano, Patton Oswalt;8.1
The Terminator;1984;R;1h 47m;A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.;James Cameron;James Cameron, Gale Anne Hurd, William Wisher;Arnold Schwarzenegger, Linda Hamilton, Michael Biehn;8.1
The Passion of Joan of Arc;1928;Passed;1h 54m;In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.;Carl Theodor Dreyer;Joseph Delteil, Carl Theodor Dreyer;Maria Falconetti, Eugene Silvain, André Berley;8.2
Hotel Rwanda;2004;PG-13;2h 1m;Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.;Terry George;Keir Pearson, Terry George;Don Cheadle, Sophie Okonedo, Joaquin Phoenix;8.1
Ford v Ferrari;2019;PG-13;2h 32m;American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.;James Mangold;Jez Butterworth, John-Henry Butterworth, Jason Keller;Matt Damon, Christian Bale, Jon Bernthal;8.1
Tokyo Story;1953;Not Rated;2h 16m;An old couple visit their children and grandchildren in the city, but receive little attention.;Yasujirô Ozu;Kôgo Noda, Yasujirô Ozu;Chishû Ryû, Chieko Higashiyama, Sô Yamamura;8.2
Platoon;1986;R;2h;Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.;Oliver Stone;Oliver Stone;Charlie Sheen, Tom Berenger, Willem Dafoe;8.1
Rocky;1976;PG;2h;A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.;John G. Avildsen;Sylvester Stallone;Sylvester Stallone, Talia Shire, Burt Young;8.1
The Big Lebowski;1998;R;1h 57m;"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.";Joel Coen, Ethan Coen;Ethan Coen, Joel Coen;Jeff Bridges, John Goodman, Julianne Moore;8.1
Room;2015;R;1h 58m;A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.;Lenny Abrahamson;Emma Donoghue;Brie Larson, Jacob Tremblay, Sean Bridgers;8.1
The Seventh Seal;1957;Not Rated;1h 36m;A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.;Ingmar Bergman;Ingmar Bergman;Max von Sydow, Gunnar Björnstrand, Bengt Ekerot;8.1
Monsters, Inc.;2001;G;1h 32m;In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.;Pete Docter, David Silverman, Lee Unkrich;Pete Docter, Jill Culton, Jeff Pidgeon;Billy Crystal, John Goodman, Mary Gibbs;8.1
Dead Poets Society;1989;PG;2h 8m;Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.;Peter Weir;Tom Schulman;Robin Williams, Robert Sean Leonard, Ethan Hawke;8.1
Mary and Max;2009;Not Rated;1h 32m;A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.;Adam Elliot;Adam Elliot;Toni Collette, Philip Seymour Hoffman, Eric Bana;8.1
How to Train Your Dragon;2010;PG;1h 38m;A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.;Dean DeBlois, Chris Sanders;Will Davies, Dean DeBlois, Chris Sanders;Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse;8.1
Jaws;1975;PG;2h 4m;When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.;Steven Spielberg;Peter Benchley, Carl Gottlieb;Roy Scheider, Robert Shaw, Richard Dreyfuss;8.1
Wild Tales;2014;R;2h 2m;Six short stories that explore the extremities of human behavior involving people in distress.;Damián Szifron;Julian Loyola, Damián Szifron, Germán Servidio;Darío Grandinetti, María Marull, Mónica Villa;8.1
Mad Max Fury Road;2015;R;2h;In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.;George Miller;George Miller, Brendan McCarthy, Nick Lathouris;Tom Hardy, Charlize Theron, Nicholas Hoult;8.1
Mr. Smith Goes to Washington;1939;Passed;2h 9m;A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.;Frank Capra;Sidney Buchman, Lewis R. Foster, Myles Connolly;James Stewart, Jean Arthur, Claude Rains;8.1
The Wages of Fear;1953;Not Rated;2h 11m;In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.;Henri-Georges Clouzot;Georges Arnaud, Henri-Georges Clouzot, Jérôme Géronimi;Yves Montand, Charles Vanel, Peter van Eyck;8.2
The Third Man;1949;Approved;1h 33m;Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.;Carol Reed;Graham Greene, Orson Welles, Alexander Korda;Orson Welles, Joseph Cotten, Alida Valli;8.1
Memories of Murder;2003;Not Rated;2h 12m;In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.;Bong Joon Ho;Bong Joon Ho, Kwang-rim Kim, Sung-bo Shim;Song Kang-ho, Kim Sang-kyung, Roe-ha Kim;8.1
Sherlock Jr.;1924;Passed;45m;A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.;Buster Keaton;Jean C. Havez, Joseph A. Mitchell, Clyde Bruckman;Buster Keaton, Kathryn McGuire, Joe Keaton;8.2
Hacksaw Ridge;2016;R;2h 19m;World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.;Mel Gibson;Robert Schenkkan, Andrew Knight;Andrew Garfield, Sam Worthington, Luke Bracey;8.1
Gone Girl;2014;R;2h 29m;With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.;David Fincher;Gillian Flynn;Ben Affleck, Rosamund Pike, Neil Patrick Harris;8.1
In the Name of the Father;1993;R;2h 13m;A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.;Jim Sheridan;Gerry Conlon, Terry George, Jim Sheridan;Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie;8.1
Barry Lyndon;1975;PG;3h 5m;An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.;Stanley Kubrick;Stanley Kubrick, William Makepeace Thackeray;Ryan O'Neal, Marisa Berenson, Patrick Magee;8.1
The Deer Hunter;1978;R;3h 3m;An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.;Michael Cimino;Michael Cimino, Deric Washburn, Louis Garfinkle;Robert De Niro, Christopher Walken, John Cazale;8.1
On the Waterfront;1954;Approved;1h 48m;An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.;Elia Kazan;Budd Schulberg, Malcolm Johnson, Robert Siodmak;Marlon Brando, Karl Malden, Lee J. Cobb;8.1
Wild Strawberries;1957;Not Rated;1h 31m;After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.;Ingmar Bergman;Ingmar Bergman;Victor Sjöström, Bibi Andersson, Ingrid Thulin;8.1
Ben-Hur;1959;G;3h 32m;After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.;William Wyler;Lew Wallace, Karl Tunberg, Gore Vidal;Charlton Heston, Jack Hawkins, Stephen Boyd;8.1
The General;1926;Passed;1h 7m;After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.;Clyde Bruckman, Buster Keaton;Buster Keaton, Clyde Bruckman, Al Boasberg;Buster Keaton, Marion Mack, Glen Cavender;8.1
The Grand Budapest Hotel;2014;R;1h 39m;A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.;Wes Anderson;Stefan Zweig, Wes Anderson, Hugo Guinness;Ralph Fiennes, F. Murray Abraham, Mathieu Amalric;8.1
Klaus;2019;PG;1h 36m;A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.;Sergio Pablos, Carlos Martínez López;Sergio Pablos, Jim Mahoney, Zach Lewis;Jason Schwartzman, J.K. Simmons, Rashida Jones;8.2
Blade Runner;1982;R;1h 57m;A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.;Ridley Scott;Hampton Fancher, David Webb Peoples, Philip K. Dick;Harrison Ford, Rutger Hauer, Sean Young;8.1
12 Years a Slave;2013;R;2h 14m;In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.;Steve McQueen;John Ridley, Solomon Northup;Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender;8.1
